"filename", "language", "Python", "Ini", "pip requirements", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\painterp\repos\python\p3_utils\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\painterp\repos\python\p3_utils\p3_utils.code-workspace", "JSON with Comments", 0, 0, 0, 0, 33, 0, 0, 33
"c:\Users\painterp\repos\python\p3_utils\pytest.ini", "Ini", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\painterp\repos\python\p3_utils\requirements.txt", "pip requirements", 0, 0, 132, 0, 0, 0, 1, 133
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\__init__.py", "Python", 158, 0, 0, 0, 0, 3, 6, 167
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_common_utils.py", "Python", 149, 0, 0, 0, 0, 63, 12, 224
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_excel_utils.py", "Python", 118, 0, 0, 0, 0, 64, 10, 192
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_helper_utils.py", "Python", 408, 0, 0, 0, 0, 156, 30, 594
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_print_output_utils.py", "Python", 98, 0, 0, 0, 0, 40, 12, 150
"c:\Users\painterp\repos\python\p3_utils\tests\test_at_utilities.py", "Python", 597, 0, 0, 0, 0, 209, 113, 919
"c:\Users\painterp\repos\python\p3_utils\tests\test_p3_common_utils.py", "Python", 119, 0, 0, 0, 0, 80, 15, 214
"c:\Users\painterp\repos\python\p3_utils\tests\test_p3_excel_files.py", "Python", 7, 0, 0, 0, 0, 16, 3, 26
"Total", "-", 1654, 14, 132, 2, 33, 631, 204, 2670
