"filename", "language", "Python", "pip requirements", "Ini", "JSON with Comments", "TOML", "Markdown", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\painterp\repos\python\p3_utils\README.md", "Markdown", 0, 0, 0, 0, 0, -2, 0, 0, 0, -1, -3
"c:\Users\painterp\repos\python\p3_utils\p3_utils.code-workspace", "JSON with Comments", 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, -33
"c:\Users\painterp\repos\python\p3_utils\pytest.ini", "Ini", 0, 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\painterp\repos\python\p3_utils\requirements.txt", "pip requirements", 0, -132, 0, 0, 0, 0, 0, 0, 0, -1, -133
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\__init__.py", "Python", -158, 0, 0, 0, 0, 0, 0, 0, -3, -6, -167
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_common_utils.py", "Python", -149, 0, 0, 0, 0, 0, 0, 0, -63, -12, -224
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_excel_utils.py", "Python", -118, 0, 0, 0, 0, 0, 0, 0, -64, -10, -192
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_helper_utils.py", "Python", -408, 0, 0, 0, 0, 0, 0, 0, -156, -30, -594
"c:\Users\painterp\repos\python\p3_utils\src\p3_utils\p3_print_output_utils.py", "Python", -98, 0, 0, 0, 0, 0, 0, 0, -40, -12, -150
"c:\Users\painterp\repos\python\p3_utils\tests\test_at_utilities.py", "Python", -597, 0, 0, 0, 0, 0, 0, 0, -209, -113, -919
"c:\Users\painterp\repos\python\p3_utils\tests\test_p3_common_utils.py", "Python", -119, 0, 0, 0, 0, 0, 0, 0, -80, -15, -214
"c:\Users\painterp\repos\python\p3_utils\tests\test_p3_excel_files.py", "Python", -7, 0, 0, 0, 0, 0, 0, 0, -16, -3, -26
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\details.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ppain\repos\python\p3_utils\.VSCodeCounter\2025-05-01_15-04-54\results.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\ppain\repos\python\p3_utils\README.md", "Markdown", 0, 0, 0, 0, 0, 212, 0, 0, 0, 7, 219
"c:\Users\ppain\repos\python\p3_utils\p3_utils.code-workspace", "JSON with Comments", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 36
"c:\Users\ppain\repos\python\p3_utils\pyproject.toml", "TOML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\ppain\repos\python\p3_utils\pytest.ini", "Ini", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ppain\repos\python\p3_utils\requirements.txt", "pip requirements", 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\__init__.py", "Python", 185, 0, 0, 0, 0, 0, 0, 0, 38, 3, 226
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\p3_common_utils.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 79, 2, 140
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\p3_excel_utils.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 79, 7, 231
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\p3_file_helpers.py", "Python", 106, 0, 0, 0, 0, 0, 0, 0, 64, 9, 179
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\p3_helper_utils.py", "Python", 485, 0, 0, 0, 0, 0, 0, 0, 243, 36, 764
"c:\Users\ppain\repos\python\p3_utils\src\p3_utils\p3_print_output_utils.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 91, 2, 172
"c:\Users\ppain\repos\python\p3_utils\tests\test_at_utilities.py", "Python", 574, 0, 0, 0, 0, 0, 0, 0, 232, 113, 919
"c:\Users\ppain\repos\python\p3_utils\tests\test_p3_common_utils.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 80, 14, 212
"c:\Users\ppain\repos\python\p3_utils\tests\test_p3_excel_files.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 15, 3, 40
"Total", "-", 119, 0, 0, 3, 13, 274, 1, 16, 290, 21, 737
